train/learning_rate,train/value_loss,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,rollout/ep_len_mean,time/time_elapsed,train/explained_variance,train/policy_loss,time/total_timesteps,time/iterations,eval/mean_reward,eval/mean_ep_length
0.0003,0.0004781080933753401,850,5.605061910000001,-0.001115713850595057,18099,18.79,106,0.9541488029062748,-2.0149630017840536e-06,90500,18100,,
0.0003,0.0001332271785940975,850,5.60726759,-0.0011066924780607224,18199,18.89,107,0.9911115607246757,-7.718761594333046e-07,91000,18200,,
0.0003,0.0018543514888733625,850,5.61710849,-0.0010952319717034698,18299,19.25,107,0.8874291032552719,-3.911974545189878e-06,91500,18300,,
0.0003,0.000916831661015749,850,5.618833810000001,-0.0011237977305427194,18399,19.32,108,0.9670570008456707,4.422408892423846e-07,92000,18400,,
0.0003,0.0005062497220933437,850,5.617655620000001,-0.001093222526833415,18499,19.18,108,0.9440074972808361,1.9786682514677523e-06,92500,18500,,
0.0003,0.00033990517840720713,850,5.6283088800000005,-0.001098960405215621,18599,19.53,109,0.8998508304357529,1.493483068770729e-06,93000,18600,,
0.0003,0.0002846834249794483,850,5.623460599999999,-0.001096014748327434,18699,19.31,109,0.8969946801662445,1.4365035667651682e-06,93500,18700,,
0.0003,0.0007474004523828626,850,5.616348079999999,-0.0010638440726324916,18799,19.11,110,0.9351813420653343,-2.36588994084741e-06,94000,18800,,
0.0003,0.00013996062625665218,849,5.6222430899999996,-0.0010918952757492661,18899,19.29,111,0.934093676507473,-9.24707819649484e-07,94500,18900,,
0.0003,0.0021038956474512815,,,-0.0011221421882510185,18999,,,0.9283946976065636,2.0789655081898673e-06,95000,,5.652032,20.4
,,849,5.61628781,,,19.18,111,,,95000,19000,,
0.0003,0.00010352872777730227,848,5.620857170000001,-0.001101108849979937,19099,19.32,112,0.8228136450052261,-5.064797505838214e-07,95500,19100,,
0.0003,0.0001253249793080613,847,5.626366619999999,-0.0011245363857597113,19199,19.49,113,0.6288224756717682,-1.5726918434211257e-07,96000,19200,,
0.0003,0.0003360323316883296,847,5.621275020000001,-0.0010992058087140322,19299,19.36,113,0.9341059252619743,1.6332345467162668e-06,96500,19300,,
0.0003,0.00011778491170844063,847,5.624779159999999,-0.0011143486481159925,19399,19.36,114,0.8411026746034622,6.721712679791381e-07,97000,19400,,
0.0003,0.00010974155884468928,846,5.62608148,-0.0010882392525672913,19499,19.35,115,0.9333180412650108,-7.44076658065751e-07,97500,19500,,
0.0003,0.00022478378377854824,846,5.62122114,-0.0010756943374872208,19599,19.07,115,0.9556174464523792,-1.2542482181743253e-06,98000,19600,,
0.0003,0.0006969153764657676,846,5.626708750000001,-0.0011436945060268044,19699,19.33,116,0.9785942006856203,1.3424019016383681e-06,98500,19700,,
0.0003,0.0007271167123690248,846,5.6217532199999996,-0.000967757951002568,19799,19.29,116,0.8929076716303825,-2.027497657763888e-06,99000,19800,,
0.0003,0.00019957017502747476,846,5.61833765,-0.0009397580288350582,19899,19.25,117,0.8844436854124069,-7.663039696126361e-07,99500,19900,,
0.0003,0.00036348780849948525,,,-0.0009470634977333248,19999,,,0.9237145707011223,-1.3634733022627188e-06,100000,,5.5984458,18.6
,,846,5.618356210000001,,,19.38,118,,,100000,20000,,
0.0003,0.0012600577902048826,846,5.61487914,-0.000994647154584527,20099,19.26,118,0.9292518794536591,-1.6021929241105681e-06,100500,20100,,
0.0003,0.00014401812222786248,847,5.610093899999999,-0.0009562319028191268,20199,19.06,119,0.7744405120611191,5.495789991982747e-07,101000,20200,,
0.0003,0.0008099316619336605,847,5.6189937,-0.0009476056438870728,20299,19.46,119,0.9351431950926781,2.199046093664947e-06,101500,20300,,
0.0003,0.00034204075927846134,847,5.620203070000002,-0.0009619586053304374,20399,19.51,120,0.860573947429657,1.3093761026539141e-06,102000,20400,,
